name	drugA	drugB	concA	concB	bliss
94	76	254	0	0	0
94	76	254	0	0.002	0
94	76	254	0	0.02	0
94	76	254	0	0.16	0
94	76	254	0	1.25	0
94	76	254	0	10	0
94	76	254	0.003	0	0
94	76	254	0.003	0.002	0.20271452
94	76	254	0.003	0.02	0.13879356
94	76	254	0.003	0.16	0.0404817599999999
94	76	254	0.003	1.25	0.02998968
94	76	254	0.003	10	-0.26112156
94	34	76	0	0	0
94	34	76	0.002	0	0
94	34	76	0.02	0	0
94	34	76	0.16	0	0
94	34	76	1.25	0	0
94	34	76	10	0	0
94	34	76	0	0.003	0
94	34	76	0.002	0.003	0.2087818
94	34	76	0.02	0.003	-0.00074428000000001
94	34	76	0.16	0.003	-0.1634944
94	34	76	1.25	0.003	-0.15271996
94	34	76	10	0.003	0.1304874
94	76	168	0	0	0
94	76	168	0	0.002	0
94	76	168	0	0.02	0
94	76	168	0	0.16	0
94	76	168	0	1.25	0
94	76	168	0	10	0
94	76	168	0.003	0	0
94	76	168	0.003	0.002	-0.04021432
94	76	168	0.003	0.02	-0.2037612
94	76	168	0.003	0.16	-0.20212144
94	76	168	0.003	1.25	-0.099387
94	76	168	0.003	10	0.20709748
94	76	200	0	0	0
94	76	200	0	0.002	0
94	76	200	0	0.02	0
94	76	200	0	0.16	0
94	76	200	0	1.25	0
94	76	200	0	10	0
94	76	200	0.003	0	0
94	76	200	0.003	0.002	0.20620832
94	76	200	0.003	0.02	0.124817
94	76	200	0.003	0.16	0.23975648
94	76	200	0.003	1.25	0.0379463999999999
94	76	200	0.003	10	0.00320164000000005
94	76	248	0	0	0
94	76	248	0	0.002	0
94	76	248	0	0.02	0
94	76	248	0	0.16	0
94	76	248	0	1.25	0
94	76	248	0	10	0
94	76	248	0.003	0	0
94	76	248	0.003	0.002	-0.29130624
94	76	248	0.003	0.02	-0.23264788
94	76	248	0.003	0.16	0.0390958
94	76	248	0.003	1.25	0.0824774
94	76	248	0.003	10	0.13157904
94	76	186	0	0	0
94	76	186	0	0.002	0
94	76	186	0	0.02	0
94	76	186	0	0.16	0
94	76	186	0	1.25	0
94	76	186	0	10	0
94	76	186	0.003	0	0
94	76	186	0.003	0.002	0.14926172
94	76	186	0.003	0.02	0.00627828000000001
94	76	186	0.003	0.16	0.05052436
94	76	186	0.003	1.25	0.12939672
94	76	186	0.003	10	-0.32876216
94	76	88	0	0	0
94	76	88	0	0.002	0
94	76	88	0	0.02	0
94	76	88	0	0.16	0
94	76	88	0	1.25	0
94	76	88	0	10	0
94	76	88	0.003	0	0
94	76	88	0.003	0.002	-0.19159792
94	76	88	0.003	0.02	-0.2108112
94	76	88	0.003	0.16	-0.30181324
94	76	88	0.003	1.25	-0.20478192
94	76	88	0.003	10	-0.39225664
94	76	128	0	0	0
94	76	128	0	0.002	0
94	76	128	0	0.02	0
94	76	128	0	0.16	0
94	76	128	0	1.25	0
94	76	128	0	10	0
94	76	128	0.003	0	0
94	76	128	0.003	0.002	0.0293356
94	76	128	0.003	0.02	0.01665052
94	76	128	0.003	0.16	-0.05523396
94	76	128	0.003	1.25	-7.23599999999891e-05
94	76	128	0.003	10	-0.14570984
94	52	76	0	0	0
94	52	76	0.002	0	0
94	52	76	0.02	0	0
94	52	76	0.16	0	0
94	52	76	1.25	0	0
94	52	76	10	0	0
94	52	76	0	0.003	0
94	52	76	0.002	0.003	-0.01794976
94	52	76	0.02	0.003	-0.05670932
94	52	76	0.16	0.003	0.08825564
94	52	76	1.25	0.003	-0.02716644
94	52	76	10	0.003	-0.0436810000000001
94	76	185	0	0	0
94	76	185	0	0.24	0
94	76	185	0	1.95	0
94	76	185	0	16	0
94	76	185	0	125	0
94	76	185	0	1000	0
94	76	185	0.003	0	0
94	76	185	0.003	0.24	0.18108304
94	76	185	0.003	1.95	-0.03477104
94	76	185	0.003	16	0.2861674
94	76	185	0.003	125	0.22252052
94	76	185	0.003	1000	-0.00782071999999999
94	76	242	0	0	0
94	76	242	0	0.002	0
94	76	242	0	0.02	0
94	76	242	0	0.16	0
94	76	242	0	1.25	0
94	76	242	0	10	0
94	76	242	0.003	0	0
94	76	242	0.003	0.002	-0.14103192
94	76	242	0.003	0.02	-0.02575236
94	76	242	0.003	0.16	-0.13275996
94	76	242	0.003	1.25	-0.20339344
94	76	242	0.003	10	-0.00524032000000005
94	76	228	0	0	0
94	76	228	0	0.002	0
94	76	228	0	0.02	0
94	76	228	0	0.16	0
94	76	228	0	1.25	0
94	76	228	0	10	0
94	76	228	0.003	0	0
94	76	228	0.003	0.002	-0.12966416
94	76	228	0.003	0.02	-0.08473592
94	76	228	0.003	0.16	-0.00729451999999998
94	76	228	0.003	1.25	-0.15502528
94	76	228	0.003	10	-0.19327672
94	76	206	0	0	0
94	76	206	0	0.002	0
94	76	206	0	0.02	0
94	76	206	0	0.16	0
94	76	206	0	1.25	0
94	76	206	0	10	0
94	76	206	0.003	0	0
94	76	206	0.003	0.002	0.12525684
94	76	206	0.003	0.02	0.0477935999999999
94	76	206	0.003	0.16	-0.05186376
94	76	206	0.003	1.25	-0.0768426
94	76	206	0.003	10	-0.15540332
94	76	193	0	0	0
94	76	193	0	0.002	0
94	76	193	0	0.02	0
94	76	193	0	0.16	0
94	76	193	0	1.25	0
94	76	193	0	10	0
94	76	193	0.003	0	0
94	76	193	0.003	0.002	-0.13650568
94	76	193	0.003	0.02	-0.0424044
94	76	193	0.003	0.16	-0.03383356
94	76	193	0.003	1.25	0.03297164
94	76	193	0.003	10	-0.0529892800000002
94	76	255	0	0	0
94	76	255	0	0.002	0
94	76	255	0	0.02	0
94	76	255	0	0.16	0
94	76	255	0	1.25	0
94	76	255	0	10	0
94	76	255	0.003	0	0
94	76	255	0.003	0.002	-0.16899912
94	76	255	0.003	0.02	-0.08616128
94	76	255	0.003	0.16	-0.2008446
94	76	255	0.003	1.25	-0.1715836
94	76	255	0.003	10	-0.01657812
94	76	208	0	0	0
94	76	208	0	0.002	0
94	76	208	0	0.02	0
94	76	208	0	0.16	0
94	76	208	0	1.25	0
94	76	208	0	10	0
94	76	208	0.003	0	0
94	76	208	0.003	0.002	-0.00658595999999999
94	76	208	0.003	0.02	-0.14989304
94	76	208	0.003	0.16	-0.0509406
94	76	208	0.003	1.25	-0.0966401999999999
94	76	208	0.003	10	0.00414299999999997
94	76	253	0	0	0
94	76	253	0	0.002	0
94	76	253	0	0.02	0
94	76	253	0	0.16	0
94	76	253	0	1.25	0
94	76	253	0	10	0
94	76	253	0.003	0	0
94	76	253	0.003	0.002	-0.14915656
94	76	253	0.003	0.02	-0.08083388
94	76	253	0.003	0.16	-0.01674308
94	76	253	0.003	1.25	-0.09297504
94	76	253	0.003	10	-0.01196024
94	76	222	0	0	0
94	76	222	0	0.002	0
94	76	222	0	0.02	0
94	76	222	0	0.16	0
94	76	222	0	1.25	0
94	76	222	0	10	0
94	76	222	0.003	0	0
94	76	222	0.003	0.002	-0.381119
94	76	222	0.003	0.02	-0.20008676
94	76	222	0.003	0.16	-0.35177656
94	76	222	0.003	1.25	-0.434886
94	76	222	0.003	10	-0.38068012
94	76	195	0	0	0
94	76	195	0	0.002	0
94	76	195	0	0.02	0
94	76	195	0	0.16	0
94	76	195	0	1.25	0
94	76	195	0	10	0
94	76	195	0.003	0	0
94	76	195	0.003	0.002	-0.14012828
94	76	195	0.003	0.02	0.08080656
94	76	195	0.003	0.16	-0.05535376
94	76	195	0.003	1.25	0.13003044
94	76	195	0.003	10	0.04505916
94	76	177	0	0	0
94	76	177	0	0.002	0
94	76	177	0	0.02	0
94	76	177	0	0.16	0
94	76	177	0	1.25	0
94	76	177	0	10	0
94	76	177	0.003	0	0
94	76	177	0.003	0.002	-0.0839264000000001
94	76	177	0.003	0.02	-0.21244848
94	76	177	0.003	0.16	-0.0587408000000001
94	76	177	0.003	1.25	-0.06893684
94	76	177	0.003	10	-0.10339328
94	76	207	0	0	0
94	76	207	0	0.002	0
94	76	207	0	0.02	0
94	76	207	0	0.16	0
94	76	207	0	1.25	0
94	76	207	0	10	0
94	76	207	0.003	0	0
94	76	207	0.003	0.002	-0.11953728
94	76	207	0.003	0.02	-0.08579336
94	76	207	0.003	0.16	0.03364044
94	76	207	0.003	1.25	-0.06819456
94	76	207	0.003	10	-0.37219396
94	76	166	0	0	0
94	76	166	0	0.002	0
94	76	166	0	0.02	0
94	76	166	0	0.16	0
94	76	166	0	1.25	0
94	76	166	0	10	0
94	76	166	0.003	0	0
94	76	166	0.003	0.002	-0.05074748
94	76	166	0.003	0.02	0.08686268
94	76	166	0.003	0.16	0.0478776
94	76	166	0.003	1.25	-0.06310976
94	76	166	0.003	10	0.0197032
94	76	194	0	0	0
94	76	194	0	0.002	0
94	76	194	0	0.02	0
94	76	194	0	0.16	0
94	76	194	0	1.25	0
94	76	194	0	10	0
94	76	194	0.003	0	0
94	76	194	0.003	0.002	-0.08221668
94	76	194	0.003	0.02	-0.0149342
94	76	194	0.003	0.16	-0.07343844
94	76	194	0.003	1.25	-0.3053104
94	76	194	0.003	10	0.18021252
94	76	179	0	0	0
94	76	179	0	0.002	0
94	76	179	0	0.02	0
94	76	179	0	0.16	0
94	76	179	0	1.25	0
94	76	179	0	10	0
94	76	179	0.003	0	0
94	76	179	0.003	0.002	-0.05607828
94	76	179	0.003	0.02	-0.027924
94	76	179	0.003	0.16	-0.17937568
94	76	179	0.003	1.25	-0.24947096
94	76	179	0.003	10	-0.13692756
94	76	225	0	0	0
94	76	225	0	0.002	0
94	76	225	0	0.02	0
94	76	225	0	0.16	0
94	76	225	0	1.25	0
94	76	225	0	10	0
94	76	225	0.003	0	0
94	76	225	0.003	0.002	0.000546800000000012
94	76	225	0.003	0.02	0.01795908
94	76	225	0.003	0.16	0.186306
94	76	225	0.003	1.25	0.07267556
94	76	225	0.003	10	0.24847804
94	76	164	0	0	0
94	76	164	0	0.001	0
94	76	164	0	0.01	0
94	76	164	0	0.08	0
94	76	164	0	0.63	0
94	76	164	0	5	0
94	76	164	0.003	0	0
94	76	164	0.003	0.001	-0.04650632
94	76	164	0.003	0.01	-0.0576226400000001
94	76	164	0.003	0.08	0.00869980000000005
94	76	164	0.003	0.63	-0.02189696
94	76	164	0.003	5	-0.15928164
94	76	189	0	0	0
94	76	189	0	0.002	0
94	76	189	0	0.02	0
94	76	189	0	0.16	0
94	76	189	0	1.25	0
94	76	189	0	10	0
94	76	189	0.003	0	0
94	76	189	0.003	0.002	-0.37630316
94	76	189	0.003	0.02	-0.15882032
94	76	189	0.003	0.16	0.04126976
94	76	189	0.003	1.25	0.08060884
94	76	189	0.003	10	-0.0569000800000001
94	76	102	0	0	0
94	76	102	0	0.002	0
94	76	102	0	0.02	0
94	76	102	0	0.16	0
94	76	102	0	1.25	0
94	76	102	0	10	0
94	76	102	0.003	0	0
94	76	102	0.003	0.002	0.03298084
94	76	102	0.003	0.02	-0.15881208
94	76	102	0.003	0.16	-0.13774896
94	76	102	0.003	1.25	0.072139
94	76	102	0.003	10	-0.13433928
94	76	135	0	0	0
94	76	135	0	0.002	0
94	76	135	0	0.02	0
94	76	135	0	0.16	0
94	76	135	0	1.25	0
94	76	135	0	10	0
94	76	135	0.003	0	0
94	76	135	0.003	0.002	-0.10775968
94	76	135	0.003	0.02	-0.05205908
94	76	135	0.003	0.16	-0.00135400000000001
94	76	135	0.003	1.25	-0.17964964
94	76	135	0.003	10	-0.1227146
94	76	140	0	0	0
94	76	140	0	0.002	0
94	76	140	0	0.02	0
94	76	140	0	0.16	0
94	76	140	0	1.25	0
94	76	140	0	10	0
94	76	140	0.003	0	0
94	76	140	0.003	0.002	0.0873872
94	76	140	0.003	0.02	0.06476364
94	76	140	0.003	0.16	0.1203866
94	76	140	0.003	1.25	-0.10923256
94	76	140	0.003	10	-0.0337478000000002
94	76	205	0	0	0
94	76	205	0	0.001	0
94	76	205	0	0.01	0
94	76	205	0	0.08	0
94	76	205	0	0.63	0
94	76	205	0	5	0
94	76	205	0.003	0	0
94	76	205	0.003	0.001	0.18959504
94	76	205	0.003	0.01	0.1000176
94	76	205	0.003	0.08	0.10487212
94	76	205	0.003	0.63	-0.02829772
94	76	205	0.003	5	0.05852636
94	41	76	0	0	0
94	41	76	0.002	0	0
94	41	76	0.02	0	0
94	41	76	0.16	0	0
94	41	76	1.25	0	0
94	41	76	10	0	0
94	41	76	0	0.003	0
94	41	76	0.002	0.003	0.17960768
94	41	76	0.02	0.003	0.27019208
94	41	76	0.16	0.003	0.27996816
94	41	76	1.25	0.003	0.0058578
94	41	76	10	0.003	-0.02561072
94	76	184	0	0	0
94	76	184	0	0.002	0
94	76	184	0	0.02	0
94	76	184	0	0.12	0
94	76	184	0	0.94	0
94	76	184	0	7.5	0
94	76	184	0.003	0	0
94	76	184	0.003	0.002	-0.134396
94	76	184	0.003	0.02	-0.0150214
94	76	184	0.003	0.12	0.00145988000000003
94	76	184	0.003	0.94	0.000509319999999889
94	76	184	0.003	7.5	0.000534600000000012
94	26	76	0	0	0
94	26	76	0.002	0	0
94	26	76	0.02	0	0
94	26	76	0.16	0	0
94	26	76	1.25	0	0
94	26	76	10	0	0
94	26	76	0	0.003	0
94	26	76	0.002	0.003	0.0536702
94	26	76	0.02	0.003	-0.087565
94	26	76	0.16	0.003	-0.47113004
94	26	76	1.25	0.003	-0.21361892
94	26	76	10	0.003	-0.09339484
94	2	76	0	0	0
94	2	76	0.002	0	0
94	2	76	0.02	0	0
94	2	76	0.16	0	0
94	2	76	1.25	0	0
94	2	76	10	0	0
94	2	76	0	0.003	0
94	2	76	0.002	0.003	-0.11558036
94	2	76	0.02	0.003	-0.11476844
94	2	76	0.16	0.003	0.02544548
94	2	76	1.25	0.003	-0.0505890000000001
94	2	76	10	0.003	0.03341032
94	76	162	0	0	0
94	76	162	0	0.002	0
94	76	162	0	0.02	0
94	76	162	0	0.16	0
94	76	162	0	1.25	0
94	76	162	0	10	0
94	76	162	0.003	0	0
94	76	162	0.003	0.002	0.05442972
94	76	162	0.003	0.02	0.06621448
94	76	162	0.003	0.16	0.05555264
94	76	162	0.003	1.25	-0.023974
94	76	162	0.003	10	-0.00768560000000008
94	76	236	0	0	0
94	76	236	0	0.002	0
94	76	236	0	0.02	0
94	76	236	0	0.16	0
94	76	236	0	1.25	0
94	76	236	0	10	0
94	76	236	0.003	0	0
94	76	236	0.003	0.002	-0.48776568
94	76	236	0.003	0.02	-0.732394
94	76	236	0.003	0.16	-0.84373456
94	76	236	0.003	1.25	-0.91856288
94	76	236	0.003	10	-0.87651568
94	76	213	0	0	0
94	76	213	0	0.002	0
94	76	213	0	0.02	0
94	76	213	0	0.16	0
94	76	213	0	1.25	0
94	76	213	0	10	0
94	76	213	0.003	0	0
94	76	213	0.003	0.002	-0.08627616
94	76	213	0.003	0.02	-0.08941388
94	76	213	0.003	0.16	0.0884268800000001
94	76	213	0.003	1.25	-0.07163256
94	76	213	0.003	10	-0.0901840000000001
94	75	76	0	0	0
94	75	76	0.002	0	0
94	75	76	0.02	0	0
94	75	76	0.16	0	0
94	75	76	1.25	0	0
94	75	76	10	0	0
94	75	76	0	0.003	0
94	75	76	0.002	0.003	-0.19286692
94	75	76	0.02	0.003	-0.26630724
94	75	76	0.16	0.003	-0.0559570800000001
94	75	76	1.25	0.003	0.01180296
94	75	76	10	0.003	-0.16541136
94	76	175	0	0	0
94	76	175	0	0.002	0
94	76	175	0	0.02	0
94	76	175	0	0.16	0
94	76	175	0	1.25	0
94	76	175	0	10	0
94	76	175	0.003	0	0
94	76	175	0.003	0.002	-0.90732996
94	76	175	0.003	0.02	-0.86510448
94	76	175	0.003	0.16	-0.90415388
94	76	175	0.003	1.25	-0.7363016
94	76	175	0.003	10	-0.53622336
94	68	76	0	0	0
94	68	76	0.002	0	0
94	68	76	0.02	0	0
94	68	76	0.16	0	0
94	68	76	1.25	0	0
94	68	76	10	0	0
94	68	76	0	0.003	0
94	68	76	0.002	0.003	0.06685112
94	68	76	0.02	0.003	-0.04609352
94	68	76	0.16	0.003	-0.06944424
94	68	76	1.25	0.003	-0.249824
94	68	76	10	0.003	-0.09236516
94	76	234	0	0	0
94	76	234	0	0.002	0
94	76	234	0	0.02	0
94	76	234	0	0.16	0
94	76	234	0	1.25	0
94	76	234	0	10	0
94	76	234	0.003	0	0
94	76	234	0.003	0.002	-0.14229244
94	76	234	0.003	0.02	-0.31190396
94	76	234	0.003	0.16	-0.4058136
94	76	234	0.003	1.25	-0.22505608
94	76	234	0.003	10	-0.16599432
94	36	76	0	0	0
94	36	76	0.002	0	0
94	36	76	0.02	0	0
94	36	76	0.16	0	0
94	36	76	1.25	0	0
94	36	76	10	0	0
94	36	76	0	0.003	0
94	36	76	0.002	0.003	-0.21480128
94	36	76	0.02	0.003	-0.2473278
94	36	76	0.16	0.003	-0.22005392
94	36	76	1.25	0.003	-0.26064564
94	36	76	10	0.003	-0.0623326400000001
94	76	210	0	0	0
94	76	210	0	0.002	0
94	76	210	0	0.02	0
94	76	210	0	0.16	0
94	76	210	0	1.25	0
94	76	210	0	10	0
94	76	210	0.003	0	0
94	76	210	0.003	0.002	-0.28124988
94	76	210	0.003	0.02	-0.16777192
94	76	210	0.003	0.16	-0.0464616
94	76	210	0.003	1.25	-0.00243019999999987
94	76	210	0.003	10	0.0069368399999999
94	76	227	0	0	0
94	76	227	0	0.002	0
94	76	227	0	0.02	0
94	76	227	0	0.16	0
94	76	227	0	1.25	0
94	76	227	0	10	0
94	76	227	0.003	0	0
94	76	227	0.003	0.002	-0.06529188
94	76	227	0.003	0.02	0.19664808
94	76	227	0.003	0.16	0.01293188
94	76	227	0.003	1.25	-0.11948252
94	76	227	0.003	10	-0.07764612
94	76	203	0	0	0
94	76	203	0	0.002	0
94	76	203	0	0.02	0
94	76	203	0	0.16	0
94	76	203	0	1.25	0
94	76	203	0	10	0
94	76	203	0.003	0	0
94	76	203	0.003	0.002	-0.09801488
94	76	203	0.003	0.02	-0.30394536
94	76	203	0.003	0.16	0.15354624
94	76	203	0.003	1.25	-0.19870144
94	76	203	0.003	10	-0.14295576
94	76	252	0	0	0
94	76	252	0	0.002	0
94	76	252	0	0.02	0
94	76	252	0	0.16	0
94	76	252	0	1.25	0
94	76	252	0	10	0
94	76	252	0.003	0	0
94	76	252	0.003	0.002	-0.03202088
94	76	252	0.003	0.02	-0.14720896
94	76	252	0.003	0.16	-0.01428084
94	76	252	0.003	1.25	-0.08717884
94	76	252	0.003	10	0.08370772
94	76	165	0	0	0
94	76	165	0	0.002	0
94	76	165	0	0.02	0
94	76	165	0	0.16	0
94	76	165	0	1.25	0
94	76	165	0	10	0
94	76	165	0.003	0	0
94	76	165	0.003	0.002	-0.20722428
94	76	165	0.003	0.02	0.20758348
94	76	165	0.003	0.16	0.04542432
94	76	165	0.003	1.25	0.13307108
94	76	165	0.003	10	-0.0180098000000001
94	76	202	0	0	0
94	76	202	0	0.002	0
94	76	202	0	0.02	0
94	76	202	0	0.16	0
94	76	202	0	1.25	0
94	76	202	0	10	0
94	76	202	0.003	0	0
94	76	202	0.003	0.002	0.1595612
94	76	202	0.003	0.02	0.18923504
94	76	202	0.003	0.16	-0.03672964
94	76	202	0.003	1.25	0.099736
94	76	202	0.003	10	-0.06211932
94	76	229	0	0	0
94	76	229	0	0.002	0
94	76	229	0	0.02	0
94	76	229	0	0.16	0
94	76	229	0	1.25	0
94	76	229	0	10	0
94	76	229	0.003	0	0
94	76	229	0.003	0.002	0.01560968
94	76	229	0.003	0.02	-0.0696846
94	76	229	0.003	0.16	-0.000562319999999978
94	76	229	0.003	1.25	-0.03589388
94	76	229	0.003	10	0.00298295999999999
94	76	181	0	0	0
94	76	181	0	0.002	0
94	76	181	0	0.02	0
94	76	181	0	0.16	0
94	76	181	0	1.25	0
94	76	181	0	10	0
94	76	181	0.003	0	0
94	76	181	0.003	0.002	-0.39863104
94	76	181	0.003	0.02	-0.42605044
94	76	181	0.003	0.16	-0.29520052
94	76	181	0.003	1.25	-0.37623188
94	76	181	0.003	10	-0.12955788
94	76	138	0	0	0
94	76	138	0	0.002	0
94	76	138	0	0.02	0
94	76	138	0	0.16	0
94	76	138	0	1.25	0
94	76	138	0	10	0
94	76	138	0.003	0	0
94	76	138	0.003	0.002	-0.05509752
94	76	138	0.003	0.02	-0.1632456
94	76	138	0.003	0.16	-0.12367772
94	76	138	0.003	1.25	-0.04798976
94	76	138	0.003	10	-0.03770664
94	76	106	0	0	0
94	76	106	0	0.002	0
94	76	106	0	0.02	0
94	76	106	0	0.16	0
94	76	106	0	1.25	0
94	76	106	0	10	0
94	76	106	0.003	0	0
94	76	106	0.003	0.002	0.00427271999999995
94	76	106	0.003	0.02	-0.17347652
94	76	106	0.003	0.16	-0.110214
94	76	106	0.003	1.25	-0.1213064
94	76	106	0.003	10	-0.03929804
94	24	76	0	0	0
94	24	76	0.002	0	0
94	24	76	0.02	0	0
94	24	76	0.16	0	0
94	24	76	1.25	0	0
94	24	76	10	0	0
94	24	76	0	0.003	0
94	24	76	0.002	0.003	-0.0181116
94	24	76	0.02	0.003	0.1888924
94	24	76	0.16	0.003	0.00830224000000001
94	24	76	1.25	0.003	-0.04961048
94	24	76	10	0.003	0.02627396
94	76	246	0	0	0
94	76	246	0	0.002	0
94	76	246	0	0.02	0
94	76	246	0	0.16	0
94	76	246	0	1.25	0
94	76	246	0	10	0
94	76	246	0.003	0	0
94	76	246	0.003	0.002	-0.17828952
94	76	246	0.003	0.02	-0.14933644
94	76	246	0.003	0.16	-0.13602092
94	76	246	0.003	1.25	-0.00539540000000002
94	76	246	0.003	10	-0.0109002400000001
94	76	105	0	0	0
94	76	105	0	0.002	0
94	76	105	0	0.02	0
94	76	105	0	0.16	0
94	76	105	0	1.25	0
94	76	105	0	10	0
94	76	105	0.003	0	0
94	76	105	0.003	0.002	-0.18029504
94	76	105	0.003	0.02	-0.27370148
94	76	105	0.003	0.16	-0.000839920000000092
94	76	105	0.003	1.25	-0.03920996
94	76	105	0.003	10	0.09433492
94	76	245	0	0	0
94	76	245	0	0.002	0
94	76	245	0	0.02	0
94	76	245	0	0.16	0
94	76	245	0	1.25	0
94	76	245	0	10	0
94	76	245	0.003	0	0
94	76	245	0.003	0.002	-0.15866036
94	76	245	0.003	0.02	-0.13636924
94	76	245	0.003	0.16	-0.08733908
94	76	245	0.003	1.25	-0.0630899600000001
94	76	245	0.003	10	-0.00441107999999993
94	76	191	0	0	0
94	76	191	0	0.002	0
94	76	191	0	0.02	0
94	76	191	0	0.16	0
94	76	191	0	1.25	0
94	76	191	0	10	0
94	76	191	0.003	0	0
94	76	191	0.003	0.002	0.116295
94	76	191	0.003	0.02	0.177657
94	76	191	0.003	0.16	0.15867576
94	76	191	0.003	1.25	0.19868636
94	76	191	0.003	10	-0.0479978
94	76	131	0	0	0
94	76	131	0	0.001	0
94	76	131	0	0.01	0
94	76	131	0	0.08	0
94	76	131	0	0.63	0
94	76	131	0	5	0
94	76	131	0.003	0	0
94	76	131	0.003	0.001	-0.0450928
94	76	131	0.003	0.01	0.07625372
94	76	131	0.003	0.08	-0.04932372
94	76	131	0.003	0.63	-0.09164368
94	76	131	0.003	5	0.11923644
94	76	235	0	0	0
94	76	235	0	0.002	0
94	76	235	0	0.02	0
94	76	235	0	0.16	0
94	76	235	0	1.25	0
94	76	235	0	10	0
94	76	235	0.003	0	0
94	76	235	0.003	0.002	-0.0889331600000001
94	76	235	0.003	0.02	-0.1934498
94	76	235	0.003	0.16	-0.13519228
94	76	235	0.003	1.25	-0.06603936
94	76	235	0.003	10	-0.0535906
94	76	244	0	0	0
94	76	244	0	0.002	0
94	76	244	0	0.02	0
94	76	244	0	0.16	0
94	76	244	0	1.25	0
94	76	244	0	10	0
94	76	244	0.003	0	0
94	76	244	0.003	0.002	-0.21211676
94	76	244	0.003	0.02	-0.10289824
94	76	244	0.003	0.16	-0.24205908
94	76	244	0.003	1.25	-0.2563268
94	76	244	0.003	10	-0.0987439600000001
94	76	223	0	0	0
94	76	223	0	0.002	0
94	76	223	0	0.02	0
94	76	223	0	0.16	0
94	76	223	0	1.25	0
94	76	223	0	10	0
94	76	223	0.003	0	0
94	76	223	0.003	0.002	-0.21089028
94	76	223	0.003	0.02	-0.15847092
94	76	223	0.003	0.16	-0.24418672
94	76	223	0.003	1.25	-0.252654
94	76	223	0.003	10	-0.11983228
94	76	110	0	0	0
94	76	110	0	0.002	0
94	76	110	0	0.02	0
94	76	110	0	0.16	0
94	76	110	0	1.25	0
94	76	110	0	10	0
94	76	110	0.003	0	0
94	76	110	0.003	0.002	-0.34518052
94	76	110	0.003	0.02	-0.32847568
94	76	110	0.003	0.16	-0.0020653999999999
94	76	110	0.003	1.25	-0.00366540000000001
94	76	110	0.003	10	-0.02742132
94	76	219	0	0	0
94	76	219	0	0.002	0
94	76	219	0	0.02	0
94	76	219	0	0.16	0
94	76	219	0	1.25	0
94	76	219	0	10	0
94	76	219	0.003	0	0
94	76	219	0.003	0.002	0.05515452
94	76	219	0.003	0.02	0.12044472
94	76	219	0.003	0.16	-0.15410192
94	76	219	0.003	1.25	0.1306236
94	76	219	0.003	10	-0.0365637600000001
94	76	199	0	0	0
94	76	199	0	0.002	0
94	76	199	0	0.02	0
94	76	199	0	0.16	0
94	76	199	0	1.25	0
94	76	199	0	10	0
94	76	199	0.003	0	0
94	76	199	0.003	0.002	-0.1189242
94	76	199	0.003	0.02	0.28817448
94	76	199	0.003	0.16	0.03520616
94	76	199	0.003	1.25	-0.10451996
94	76	199	0.003	10	-0.19101304
94	76	218	0	0	0
94	76	218	0	0.002	0
94	76	218	0	0.02	0
94	76	218	0	0.16	0
94	76	218	0	1.25	0
94	76	218	0	10	0
94	76	218	0.003	0	0
94	76	218	0.003	0.002	-0.15826612
94	76	218	0.003	0.02	-0.2754184
94	76	218	0.003	0.16	-0.09895948
94	76	218	0.003	1.25	0.01575064
94	76	218	0.003	10	-0.09302048
94	76	211	0	0	0
94	76	211	0	0.002	0
94	76	211	0	0.02	0
94	76	211	0	0.16	0
94	76	211	0	1.25	0
94	76	211	0	10	0
94	76	211	0.003	0	0
94	76	211	0.003	0.002	-0.1082694
94	76	211	0.003	0.02	0.04441324
94	76	211	0.003	0.16	-0.0861322
94	76	211	0.003	1.25	-0.15198604
94	76	211	0.003	10	-0.0841798
94	76	87	0	0	0
94	76	87	0	0.002	0
94	76	87	0	0.02	0
94	76	87	0	0.16	0
94	76	87	0	1.25	0
94	76	87	0	10	0
94	76	87	0.003	0	0
94	76	87	0.003	0.002	-0.3256382
94	76	87	0.003	0.02	-0.111534
94	76	87	0.003	0.16	-0.02527164
94	76	87	0.003	1.25	-0.00239423999999985
94	76	87	0.003	10	-0.04641588
94	76	243	0	0	0
94	76	243	0	0.002	0
94	76	243	0	0.02	0
94	76	243	0	0.16	0
94	76	243	0	1.25	0
94	76	243	0	10	0
94	76	243	0.003	0	0
94	76	243	0.003	0.002	-0.11884752
94	76	243	0.003	0.02	-0.04156548
94	76	243	0.003	0.16	0.16388068
94	76	243	0.003	1.25	0.24999948
94	76	243	0.003	10	-0.51356168
94	76	221	0	0	0
94	76	221	0	0.002	0
94	76	221	0	0.02	0
94	76	221	0	0.16	0
94	76	221	0	1.25	0
94	76	221	0	10	0
94	76	221	0.003	0	0
94	76	221	0.003	0.002	-0.08051476
94	76	221	0.003	0.02	-0.01413144
94	76	221	0.003	0.16	-0.1733566
94	76	221	0.003	1.25	-0.2316944
94	76	221	0.003	10	-0.10020936
94	76	198	0	0	0
94	76	198	0	0.002	0
94	76	198	0	0.02	0
94	76	198	0	0.16	0
94	76	198	0	1.25	0
94	76	198	0	10	0
94	76	198	0.003	0	0
94	76	198	0.003	0.002	-0.02560356
94	76	198	0.003	0.02	-0.0127758
94	76	198	0.003	0.16	-0.22051896
